iter	Passed	Remaining
422	2158	2944
423	2164	2940
424	2171	2937
425	2178	2935
426	2185	2932
427	2189	2925
428	2195	2921
429	2199	2915
430	2204	2910
431	2210	2906
432	2217	2903
433	2223	2899
434	2227	2893
435	2233	2889
436	2237	2883
437	2241	2876
438	2246	2870
439	2250	2864
440	2254	2857
441	2258	2850
442	2264	2847
443	2268	2841
444	2273	2835
445	2278	2829
446	2283	2825
447	2289	2821
448	2296	2817
449	2301	2813
450	2306	2807
451	2312	2803
452	2319	2801
453	2324	2795
454	2330	2791
455	2335	2786
456	2341	2782
457	2347	2777
458	2351	2771
459	2355	2765
460	2360	2760
461	2368	2757
462	2374	2753
463	2379	2748
464	2385	2744
465	2391	2740
466	2399	2738
467	2405	2734
468	2412	2731
469	2417	2726
470	2422	2721
471	2429	2717
472	2434	2712
473	2439	2706
474	2445	2703
475	2452	2699
476	2457	2694
477	2462	2689
478	2468	2684
479	2472	2678
480	2478	2674
481	2484	2670
482	2488	2664
483	2493	2658
484	2500	2655
485	2505	2649
486	2510	2644
487	2515	2639
488	2520	2633
489	2525	2628
490	2531	2624
491	2536	2618
492	2540	2613
493	2547	2609
494	2551	2603
495	2555	2596
496	2559	2590
497	2564	2585
498	2569	2579
499	2575	2575
500	2580	2570
501	2584	2563
502	2587	2556
503	2594	2552
504	2598	2546
505	2602	2541
506	2609	2536
507	2614	2531
508	2618	2525
509	2623	2520
510	2628	2515
511	2632	2509
512	2639	2505
513	2646	2501
514	2650	2495
515	2656	2491
516	2660	2485
517	2664	2478
518	2667	2472
519	2672	2467
520	2676	2461
521	2680	2454
522	2687	2450
523	2692	2446
524	2697	2441
525	2704	2436
526	2708	2431
527	2713	2426
528	2719	2421
529	2723	2415
530	2727	2409
531	2733	2404
532	2738	2399
533	2742	2393
534	2747	2388
535	2753	2383
536	2758	2378
537	2764	2373
538	2771	2370
539	2775	2364
540	2781	2360
541	2788	2356
542	2792	2349
543	2799	2346
544	2804	2341
545	2810	2336
546	2814	2331
547	2820	2326
548	2825	2320
549	2829	2315
550	2836	2311
551	2841	2306
552	2846	2300
553	2852	2296
554	2857	2291
555	2861	2285
556	2868	2281
557	2874	2276
558	2879	2271
559	2884	2266
560	2891	2262
561	2898	2259
562	2906	2256
563	2913	2251
564	2921	2249
565	2929	2245
566	2934	2240
567	2938	2235
568	2942	2229
569	2947	2223
570	2950	2217
571	2955	2211
572	2959	2205
573	2964	2200
574	2970	2195
575	2974	2189
576	2979	2184
577	2985	2179
578	2989	2173
579	2993	2167
580	2997	2161
581	3001	2155
582	3006	2150
583	3010	2144
584	3016	2139
585	3021	2134
586	3026	2129
587	3033	2125
588	3037	2119
589	3040	2112
590	3049	2110
591	3055	2105
592	3060	2100
593	3066	2095
594	3069	2089
595	3074	2083
596	3081	2079
597	3086	2074
598	3090	2069
599	3096	2064
600	3100	2058
601	3105	2053
602	3114	2050
603	3119	2044
604	3124	2040
605	3130	2035
606	3137	2031
607	3143	2026
608	3149	2021
609	3155	2017
610	3160	2012
611	3165	2007
612	3170	2001
613	3175	1996
614	3181	1991
615	3185	1985
616	3190	1980
617	3196	1975
618	3202	1971
619	3208	1966
620	3213	1961
621	3218	1955
622	3224	1951
623	3230	1946
624	3238	1943
625	3245	1938
626	3253	1935
627	3263	1932
628	3272	1930
629	3279	1926
630	3287	1922
631	3293	1917
632	3298	1912
633	3304	1907
634	3311	1903
635	3319	1899
636	3325	1895
637	3333	1891
638	3341	1887
639	3349	1884
640	3354	1878
641	3358	1872
642	3364	1868
643	3368	1861
644	3372	1856
645	3379	1851
646	3384	1846
647	3390	1841
648	3396	1836
649	3400	1830
650	3405	1825
651	3411	1820
652	3416	1815
653	3421	1810
654	3427	1805
655	3432	1799
656	3438	1795
657	3444	1790
658	3450	1785
659	3458	1781
660	3462	1775
661	3466	1769
662	3471	1764
663	3476	1759
664	3481	1754
665	3487	1749
666	3493	1744
667	3498	1738
668	3504	1733
669	3510	1729
670	3515	1723
671	3521	1718
672	3528	1714
673	3533	1709
674	3538	1703
675	3545	1699
676	3550	1694
677	3557	1689
678	3562	1684
679	3568	1679
680	3575	1674
681	3584	1671
682	3591	1666
683	3599	1662
684	3605	1658
685	3617	1655
686	3625	1651
687	3636	1648
688	3643	1644
689	3648	1639
690	3653	1633
691	3658	1628
692	3663	1622
693	3667	1617
694	3673	1611
695	3679	1607
