iter	MultiClass
350	0.06119181607
351	0.06109024026
352	0.06089407142
353	0.06075250028
354	0.06052707454
355	0.06017377254
356	0.06006584372
357	0.05995715141
358	0.05979938367
359	0.05974283911
360	0.05944968194
361	0.05932284732
362	0.05914354995
363	0.05893319167
364	0.05858049928
365	0.05837235458
366	0.05825110683
367	0.0579592333
368	0.05766182048
369	0.05749653512
370	0.05720636861
371	0.05704457868
372	0.05680515425
373	0.05674629183
374	0.05645950784
375	0.05629379541
376	0.05620174969
377	0.05608047833
378	0.05584775303
379	0.05569904315
380	0.0555195694
381	0.05533647395
382	0.05514036168
383	0.05492110918
384	0.05463289933
385	0.05440505136
386	0.05427577644
387	0.05412239482
388	0.05402730258
389	0.05375676974
390	0.05358336005
391	0.05342977715
392	0.0531395139
393	0.05309388445
394	0.05298558633
395	0.0528558579
396	0.0526287968
397	0.05248267051
398	0.05222517549
399	0.05214679384
400	0.05198317882
401	0.05183214176
402	0.05157065829
403	0.05142334854
404	0.0512275157
405	0.05116292529
406	0.05101368326
407	0.05084232994
408	0.05073003545
409	0.05062232526
410	0.05051006974
411	0.05037386257
412	0.05023507467
413	0.05002872834
414	0.04993382192
415	0.04980070971
416	0.04968192213
417	0.04962684672
418	0.04958335126
419	0.04935566691
420	0.04930654693
421	0.04913285624
422	0.04899407077
423	0.04890828103
424	0.04880910971
425	0.04860787159
426	0.04844770639
427	0.04835745487
428	0.04825512918
429	0.04820919835
430	0.04818823507
431	0.04809584383
432	0.04800812721
433	0.04793536572
434	0.04782558482
435	0.04764846856
436	0.04750609245
437	0.04739275262
438	0.04709471175
439	0.04697119548
440	0.04683711963
441	0.04676609255
442	0.04669430005
443	0.04647962395
444	0.04637815739
445	0.04631369612
446	0.04615576394
447	0.04606385969
448	0.04590958765
449	0.04581595767
450	0.04565128235
451	0.04555819893
452	0.04546865363
453	0.0453482923
454	0.04526744432
455	0.04513655636
456	0.04495939637
457	0.04483765005
458	0.04468245669
459	0.04446122306
460	0.04425227715
461	0.04417753189
462	0.04403530785
463	0.04389850075
464	0.04378295865
465	0.04363950596
466	0.04348562288
467	0.04338026202
468	0.04330119444
469	0.04315554373
470	0.04293837102
471	0.04289340867
472	0.04272444109
473	0.04261947723
474	0.04254119137
475	0.04230420874
476	0.04220079608
477	0.04210890231
478	0.04204017415
479	0.04198507048
480	0.04182776551
481	0.04163286887
482	0.04141750092
483	0.04131193446
484	0.04118233314
485	0.04105600454
486	0.04090186437
487	0.04082012129
488	0.0406533417
489	0.0405234635
490	0.0403688571
491	0.04020518715
492	0.04001636724
493	0.03997196862
494	0.03986977722
495	0.03983677025
496	0.03970144048
497	0.03965234019
498	0.03956638779
499	0.03945030181
500	0.03930371315
501	0.03907588739
502	0.03899965052
503	0.0389062122
504	0.03887904707
505	0.03885537976
506	0.03884163178
507	0.03875329842
508	0.03873746053
509	0.03869523293
510	0.03852265598
511	0.03843326544
512	0.03836944302
513	0.03823827757
514	0.03811326324
515	0.03798599649
516	0.03779639592
517	0.03768173048
518	0.03764897606
519	0.03751544519
520	0.03744818976
521	0.0373735866
522	0.03730450799
523	0.03717612046
524	0.03713533285
525	0.03709100067
526	0.0369417073
527	0.03691523443
528	0.03682797971
529	0.03669825271
530	0.03664013926
531	0.0366199474
532	0.03653517382
533	0.03642185171
534	0.03635382078
535	0.03629217668
536	0.03621128256
537	0.03612236885
538	0.03607429726
539	0.0359217068
540	0.03580265925
541	0.03575751642
542	0.03570927359
543	0.03565554117
544	0.03556244948
545	0.03546883589
546	0.03539164053
547	0.03531087224
548	0.03519825712
549	0.03517488439
550	0.03511378995
551	0.03504284668
552	0.03503119504
553	0.03501039626
554	0.03495272545
555	0.03489838583
556	0.03484082029
557	0.03476225944
558	0.0346165318
559	0.03443367574
560	0.03433068373
561	0.0342411225
562	0.03416329626
563	0.03415135101
564	0.03403858775
565	0.03391483375
566	0.03382563683
567	0.03377515186
568	0.03369115957
569	0.03364307628
570	0.03357267665
571	0.03353465682
572	0.03351321393
573	0.03340908762
574	0.03325765027
575	0.03317779851
576	0.03311928503
577	0.03301592989
578	0.03298426861
579	0.03292417547
580	0.03288092918
581	0.03269248906
582	0.03263742365
583	0.03259631768
584	0.03254337873
585	0.03251102085
586	0.03247745573
587	0.03239985801
588	0.03235596816
589	0.03230605674
590	0.03222210781
591	0.03218369036
592	0.03211145567
593	0.03206631266
594	0.03202097028
595	0.03195964426
596	0.0318878127
597	0.03183042291
598	0.03178999604
599	0.03173486595
600	0.03172011609
601	0.03164480924
602	0.03155618651
603	0.03146247914
604	0.03140711531
605	0.03137029803
606	0.03130004561
607	0.03122159915
608	0.03117847664
609	0.03112944338
610	0.03103021899
611	0.03096313997
612	0.03093644164
613	0.03087769624
614	0.03077077812
615	0.03072014426
616	0.03067165241
617	0.03059440424
618	0.0305558189
619	0.03049267064
620	0.03041772955
621	0.03036105917
622	0.03030738438
623	0.03026305554
624	0.03022418571
625	0.03019604003
626	0.03015952363
627	0.03008973675
628	0.03004994341
629	0.03001812318
630	0.02998257262
631	0.02996355087
632	0.02992865446
633	0.02990706466
634	0.02980365977
635	0.0296911446
636	0.02963226912
637	0.02957174401
638	0.02946698124
639	0.0293488196
640	0.0292209571
641	0.02917321777
642	0.02911735138
643	0.02907535508
644	0.02898654572
645	0.02894233972
646	0.02888853792
647	0.02887362575
648	0.0288326471
649	0.02875853794
650	0.02868268056
651	0.02861389357
652	0.02857045585
653	0.02854030668
654	0.02849625759
655	0.02846435158
656	0.0284150364
657	0.02840281409
658	0.02837604608
659	0.02830759718
660	0.02828124137
661	0.02826405276
662	0.02820405703
663	0.02816813457
664	0.02811977657
665	0.02806725956
666	0.02800117217
667	0.0279613477
668	0.02788242757
669	0.02779883448
670	0.02775425694
671	0.02773724073
672	0.02768016425
673	0.02760288642
674	0.02757052859
675	0.02752270453
676	0.02746612013
677	0.02741979766
678	0.0273908343
679	0.02733793984
680	0.02728289808
681	0.02723459658
682	0.02718884243
683	0.02712005352
684	0.02708226319
685	0.02699874578
686	0.02693029055
687	0.0268608666
688	0.02671094576
689	0.02665400703
690	0.02659065139
691	0.02653878289
692	0.02651415894
693	0.02647549543
694	0.02639044977
695	0.02635221642
696	0.0263087533
697	0.02627319714
698	0.02623931674
699	0.02619752314
700	0.02616164108
701	0.02614537289
702	0.02610337877
703	0.02603094729
704	0.02599087727
705	0.02596218533
706	0.02588155979
707	0.02581990412
708	0.02577437254
709	0.02573495236
710	0.02566006971
711	0.02563761164
712	0.02557976898
713	0.02555047451
714	0.02542089845
715	0.02537306931
716	0.02534095725
717	0.02529261541
718	0.02527085401
719	0.02517309986
720	0.02513925028
721	0.02511262519
722	0.0250871941
723	0.02503395875
724	0.02499929504
725	0.0249701287
726	0.02488551171
727	0.02484233285
728	0.02479905074
729	0.02474274567
730	0.02469547353
731	0.02465095995
732	0.02463174731
733	0.02459572624
734	0.02456082632
735	0.02454092916
736	0.02449809995
737	0.02440297398
738	0.02434996491
739	0.02432280815
740	0.02427798277
741	0.02423304867
742	0.02420761212
743	0.02412020059
744	0.02410584829
745	0.02407044683
746	0.02404905433
747	0.02398502738
748	0.02394606818
749	0.02390618933
750	0.02382714755
751	0.02376302573
752	0.02371988243
753	0.02368964235
754	0.02366782166
755	0.023614614
756	0.02360013874
757	0.02355801142
758	0.02352482722
759	0.02348842676
760	0.023386096
761	0.02336210748
762	0.02330993424
763	0.02329886558
764	0.02326338504
765	0.0232209083
766	0.02317858994
767	0.02313980731
768	0.02312422911
769	0.02306398382
770	0.02304364703
771	0.02300636092
772	0.02295663307
773	0.02293095623
774	0.02291541402
775	0.02288750163
776	0.02283022806
777	0.02278420958
778	0.02275378623
779	0.02272472432
780	0.02269873637
781	0.02268211447
782	0.02261763232
783	0.02258916944
784	0.02257538111
785	0.02256069314
786	0.02254135236
787	0.02249195574
788	0.02244962795
789	0.02243111257
790	0.02239863398
791	0.0223848133
792	0.02236338368
793	0.02233165165
794	0.02230642603
795	0.02224769738
796	0.02222503649
797	0.02220674664
798	0.02216756951
799	0.02214416767
800	0.02212551893
801	0.02210834435
802	0.02208273395
803	0.02204812695
804	0.02198888324
805	0.02194401053
806	0.02186204464
807	0.02180727202
808	0.02178762518
809	0.02176212794
810	0.02174915543
811	0.02173317318
812	0.0216855246
813	0.02164549655
814	0.02163741995
815	0.02160507413
816	0.02156881915
817	0.02152785718
818	0.02147827917
819	0.02145804431
820	0.02142749872
821	0.02137969629
822	0.02134770202
823	0.02128895624
824	0.02125429452
825	0.02119865151
826	0.02115628435
827	0.02112960425
828	0.02108706025
829	0.02107374966
830	0.02101934887
831	0.02097059992
832	0.02096424567
833	0.02086654857
834	0.02083425256
835	0.02079070985
836	0.02074902227
837	0.02070545913
838	0.02066844495
839	0.02064242625
840	0.02062025662
841	0.02059379743
842	0.02055885418
843	0.02053487351
844	0.02052029992
845	0.02049447491
846	0.02047958205
847	0.02044046563
848	0.02039967787
849	0.02036665078
850	0.020336016
851	0.02030098841
852	0.02026880018
853	0.02023791947
854	0.02021166419
855	0.02017945617
856	0.02015081453
857	0.02012973289
858	0.02009161284
859	0.02002589706
860	0.01997338156
861	0.01991055368
862	0.01989690384
863	0.01987883292
864	0.01984724929
865	0.01984276122
866	0.01982071904
867	0.01978800779
868	0.01975792448
869	0.0197317404
870	0.01970838646
871	0.01969966488
872	0.01967445589
873	0.01965266736
874	0.01961978176
875	0.01960815171
876	0.01957029166
877	0.01954621519
878	0.01953702327
879	0.01952679442
880	0.01948715007
881	0.01946799546
882	0.01943521571
883	0.01940743436
884	0.01938492201
885	0.01934569515
886	0.01930030873
887	0.0192436959
888	0.01923589497
889	0.01919487179
890	0.01917808364
891	0.01916216953
892	0.01911590618
893	0.01906682786
894	0.01900787548
895	0.0189817651
896	0.01894747472
897	0.0189301343
898	0.01889260207
899	0.01884275941
900	0.0188236913
901	0.01879421992
902	0.01877260469
903	0.0187314308
904	0.01871969457
905	0.01871150041
906	0.01867697981
907	0.01863399486
908	0.01857073111
909	0.0185388401
910	0.01852514277
911	0.01846885086
912	0.01845698603
913	0.01843172645
914	0.0184018271
915	0.01838765083
916	0.01836959468
917	0.01836096321
918	0.0183282867
919	0.0182984203
920	0.01825872271
921	0.01821756174
922	0.01817444723
923	0.01815752948
924	0.01810520258
925	0.0180673831
926	0.01803283931
927	0.0180253419
928	0.01798866477
929	0.01797600806
930	0.01794630229
931	0.01792883514
932	0.01791360446
933	0.01789543552
934	0.01786679192
935	0.0178116181
936	0.01778491782
937	0.01776151193
938	0.01773155133
939	0.01771348601
940	0.01769373679
941	0.01767661287
942	0.01764601412
943	0.01763901251
944	0.01763321661
945	0.01761882244
946	0.01758236845
947	0.01755887296
948	0.0175465609
949	0.01752300837
950	0.01747998181
951	0.01743428605
952	0.01741787267
953	0.01740484659
954	0.01738946793
955	0.01737688247
956	0.0173552928
957	0.01733751546
958	0.017312778
959	0.0172804571
960	0.01725563546
961	0.01723102203
962	0.01721597661
963	0.01719158537
964	0.01715635007
965	0.01712690436
966	0.01709591494
967	0.01707791555
968	0.01707211705
969	0.0170519251
970	0.01702854511
971	0.01701079799
972	0.01698705242
973	0.01694963843
974	0.01693063665
975	0.01692156153
976	0.01690116755
977	0.01686925474
978	0.01684204989
979	0.01681948479
980	0.01680672739
981	0.01676145742
982	0.01671756652
983	0.01667941004
984	0.01665646218
985	0.01665084778
986	0.01661855865
987	0.01660742292
988	0.01659529947
989	0.01657428453
990	0.01656699945
991	0.01653109972
992	0.01649584096
993	0.0164802564
994	0.01646132173
995	0.01645457447
996	0.01644756044
997	0.01642104597
998	0.01640320213
999	0.0163693183
